Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
PA0001,0.006011640816404109,0.003315399661660194,-0.003998456597328186,0.003045867681503296,-0.00873322273368266,-0.0013735747337341308,-0.0006884416937828064,0.0033247626744783844,0.0025007490813732146,-0.0014060401916503905,-0.007061710280756797,0.0027109615970402957,-0.00023538634181022642,-0.0007911312580108642,-0.0010931151919066906,-0.002689516544342041,-0.0009129448235034943,-0.008366222381591798,0.003267545449106317,0.0074498653411865234,-0.0029418873337079894,-0.0066587199146548905,-0.0024667177714553534
PA0002,0.0003078611273514597,0.0005266347527503967,0.0011146008968353272,0.001791175603866577,-0.0014817643521437005,-0.0020965313911437988,0.001130163073539734,0.0029210640833928036,0.0021418863534927368,-0.0024913811683654787,-0.005394885616917764,0.0036957419011741876,0.00048114389181137086,0.00041930794715881346,-0.0018595107644796371,0.004102988839149475,-0.004647429883480072,0.0022608202695846556,-9.949165478087308e-05,-0.0016417136559119592,-0.001502365436194078,-0.007229065584639708,-0.009310985897101607
PA0003,0.001545554713199013,0.002437655031681061,-0.0010342979431152343,-0.0014158439636230468,0.008266925811767578,-0.004003963470458984,0.0028773504495620728,0.0016961831312913161,-0.00023708194494247435,-0.0015458011627197267,0.003229425799462103,0.001674400120973587,-0.0014194881916046143,0.003403761386871338,0.002264546100050211,-0.00403031587600708,0.0017615538835525513,-0.016158785820007324,-0.004172946277417634,-0.004248178922213041,-0.0027857906413528153,-0.005767676110068957,-0.010627819042579801
PA0004,0.004122248867101837,0.003523961007595062,-0.00031990885734558107,0.00014295518398284917,-0.00015048482524814891,-0.002413822412490845,0.005328300222754478,0.004941369937016413,-0.0005139382183551788,0.00276999831199646,-0.0023085715309266123,0.004996227608062327,-0.0043325284868478775,0.004052979946136475,-0.005210597268305719,0.0011757904291152955,-0.0015454195439815522,-0.005432298183441162,-0.0020367861316915145,0.003682448313786433,-0.0015943545215534715,-0.003114823073459168,0.0022960866198820226
PA0005,-6.518447608278508e-05,-0.0019027725979685784,-0.006642605066299438,-0.010247339010238648,-0.0031038896361393715,0.0009400343894958496,0.0033502539992332457,0.0014815816512474646,-0.0023324521631002426,-0.010085214376449585,-0.005168224534680767,-0.0042309917882084845,-0.0048908831179142,-0.000277666449546814,-0.00426893861964345,0.010340653955936432,0.00023437537252902986,-0.0009590008854866028,-0.0017968243674228066,-0.002998938927283654,7.15143275710772e-05,-0.009519451173643272,0.007261595889633777
PA0006,0.003669370684707374,-0.011040067374706268,-0.005817267894744873,-0.0016901159286499023,-0.00016665102830573696,0.011506938934326172,-0.004419564008712768,0.0022545631115253157,0.00716407835483551,-0.0018197298049926758,0.005318795481035786,-0.0041777102276682855,0.005709736347198486,0.007443144321441651,-0.0036202148348093034,0.0029395270347595216,0.002246532738208771,-0.0007548880577087402,0.0008355316362882915,0.010804396409254808,-0.0008197370565162515,0.0032769907265901566,-0.005330338197595933
PA0007,-0.0020963350931803384,-0.006332306861877441,-0.010412766933441162,-0.008324854373931885,-0.004806244551245846,0.00015235424041748046,-0.002481759339570999,-0.0005951863068800707,0.030319451987743377,-0.0023200368881225587,0.007048410754049978,-0.0004584398865699768,0.01125784993171692,-0.0012373316287994385,0.002530815275385976,0.020204598903656005,-0.00032452568411827086,-0.007111495733261109,-0.007257716697559022,-0.008633100069486178,0.0019061385460619658,0.0018054715978602569,-0.0028613069478203267
PA0008,0.005923237716942502,-0.006618436276912689,-0.006886057853698731,0.00842010498046875,0.00034971379522067396,0.00396392822265625,0.0073483651876449585,0.0032354024740365835,-0.002500288039445877,-0.0011516714096069336,-0.009579962299716088,0.005102684460580349,0.005068919509649277,-0.0020133304595947267,0.0003287224937230349,0.002866247892379761,-0.004041888862848282,0.004927437901496887,-0.0018740400933382805,0.0052744058462289665,-0.002494569094675892,-0.009119753260165453,0.011048439671011531
PA0009,0.008229950018096389,-0.0011634765565395355,-0.000277026891708374,0.0020856785774230955,-0.0039837929739880915,0.0020906543731689453,0.0050521942973136905,0.007438210340646597,-0.0007881252467632294,-0.003940458297729492,-0.006435863433345672,-0.0024625078402459623,0.0030372582376003267,-0.002634446620941162,-0.0018323399312794209,0.0001979339122772217,-0.014519558250904084,0.0010917603969573975,0.00907754427508304,0.0019659996032714844,-0.009786066019310142,-0.00709904966255029,0.005403393623875636
PA0010,0.0047211145099840665,-0.00895972453057766,0.004350528717041015,-0.008128756284713745,-0.005133860146821435,0.014936339855194092,-0.004100130647420883,0.0016213050255408654,-0.001779029071331024,0.0031098294258117675,-0.0043726832635941045,-0.001441227700561285,0.0007200288772583008,-0.007100770473480225,0.006576494509354234,0.000859222412109375,-0.011607852131128311,0.001549081802368164,0.008474457159376982,0.00953986094548152,-0.0010465630945169701,-0.0102432525716722,0.006504243495417577
PA0011,0.0026613703945226838,-0.0020040088891983034,-0.004674570560455322,-0.0028157901763916017,-0.0018483916325355643,0.0001355457305908203,0.005314188897609711,0.0008410967313326322,-0.002316306531429291,-0.0066129636764526364,-8.519618741927606e-05,-0.0041040414571762085,0.008272194564342498,0.0029625153541564943,-0.00459817785769701,0.004446063041687012,0.005564003586769104,-0.002298262119293213,-0.0075716114880745875,0.008550203763521634,-0.0021687633586379715,0.001380744886895021,-0.009729144619960411
PA0012,0.003491318016721491,0.009589694738388062,-0.015601415634155274,0.0008246898651123047,-0.0021052574043843282,-0.007205276489257812,0.0021463412046432494,0.003551149368286133,0.006564761400222778,-0.0019652748107910154,0.006436586380004883,-0.0013466423004865646,0.007903061509132385,0.0025476598739624023,-0.003769088201224804,0.006860337257385254,-0.009967060089111328,0.0002941131591796875,-0.014790967891090795,-0.0030547655545748197,-0.004731736093197229,-0.008808843729396661,-0.005221119113996917
PA0013,0.006495283361066852,0.008861685991287232,-0.0018524408340454101,0.002955833673477173,0.004564794141854813,-0.0026421189308166505,0.004712996780872345,0.00320890316596398,-0.0019073787331581116,-0.005152564048767089,0.0005303698201333323,-0.00529232120141387,-0.003636961132287979,-0.005453248023986817,-0.007377420067787171,0.006813819408416748,-0.011472399830818176,-0.0011444032192230225,0.0038883393270927563,0.022663189814640924,-0.016084630534334003,-0.015146167327960333,0.013238219653858858
PA0014,-0.003652869609364292,0.013096839413046837,-0.024758403897285463,-0.00012632250785827638,0.004364422897794353,-0.0057634544372558594,0.00010217502713203431,-0.0023344993591308595,-0.0013546676933765412,0.002921338081359863,0.031253214805356914,-0.002393361581489444,0.007967447489500045,0.014245178699493408,0.008894090573303402,-0.007903740406036378,-0.0008616521954536438,-0.004499726891517639,0.002220452616089269,-0.031206314380352315,-0.004720854309369933,-0.003110139879087607,-0.013619565496257707
PA0015,0.007026017757884243,-0.010001859776675701,0.008000830709934235,-0.0040646415948867795,-0.006623933564371138,-0.012225755453109742,0.004069304466247559,0.004483072115824773,-0.0005538704618811606,0.008737605214118958,-0.005241706486671201,-0.003474407847970724,0.007460136599838733,-0.000952400267124176,0.0020607006503269077,-0.0027098938822746276,-0.010927273854613305,-0.017034506797790526,0.004143121341864268,0.00551456671494704,-0.005917152143874258,-0.009695484892775615,0.0026641590338127284
PA0016,0.005747334998950623,-0.01505516417324543,-0.006574037075042724,-0.0006854677200317383,0.004608013736667918,-0.0014235591888427735,0.0068849074840545655,0.0012561238729036771,0.004803638085722923,-0.0018651831150054933,-0.006248933653677663,-0.0003430100250989199,-0.0006984660029411316,-0.006092403531074524,0.0015256282687187194,-0.006675006151199341,0.0016004396229982376,-0.0022895079851150513,-0.011165368975254527,0.008479833602905273,-0.004821008106447615,-0.009852345582718651,0.005958045814551559
