Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
PA0001,0.0006574070453643798,-0.004805797338485717,-0.008786211907863616,-0.0011904102563858032,0.0019325888156890869,0.002904006242752075,0.002895675301551819,0.0036113649606704713,-0.0013103550672531128,-0.0005168533325195313,-0.0014029856026172639,-0.004877353471422952,-0.0005260282754898072,-0.002221931889653206,-0.000737922117114067,-0.009641082016463132,-0.00805721611812197,0.013165911359171714,-0.0017887504424813183,-0.005496889915106431,-0.003553862841624134,0.004921883211604187
PA0002,0.001401655673980713,0.0009000837802886963,0.002040323317050934,-0.0008807699382305145,0.0014878574013710022,0.00311942458152771,0.004153178930282593,0.0003237637877464294,-0.0035248279571533205,-0.005222868323326111,-0.001537432074546814,-0.0004198229502117823,0.00030207693576812745,0.0038518327474594116,0.0010114850103855133,0.001886722967796719,-0.006061500516431085,0.012154484948804301,-0.005395642893258916,-0.009094735923803077,-0.005599761346601091,0.005409829551354051
PA0003,-0.0008172869682312011,-0.0012286972999572753,-0.015838941335678102,0.0031453317403793337,-0.001587599515914917,0.00033097028732299806,0.001724250316619873,0.0025236603617668153,-0.0016300225257873536,0.0014376938343048096,-0.0038744789361953736,0.0003288586934407552,0.0032269597053527833,-0.003919454514980316,0.0027674147486686706,0.009054299482365245,0.0030014268283186287,0.00843903326219128,-0.005245511138508486,-0.003332106572277141,-0.003924857895329314,-0.0026636007907135145
PA0004,-0.004378109723329544,-0.0007300710678100586,-0.006541367173194885,-0.005705060213804245,-0.00043082468211650847,-0.0008050400018692017,0.004783314764499664,0.003946273922920227,0.002909184992313385,-0.0008717139810323715,-0.002077726200222969,0.00030611147956242636,0.0035395947098731994,0.001624760925769806,0.0053222116082906725,-0.00041139709580804886,-0.0024515616482701794,0.007792834312685074,-0.00430074907016269,0.0034376312539262594,-0.004241688352710796,0.002765494498557278
PA0005,-0.004884831607341766,-0.006879245638847351,-0.0002012321352958679,-0.003957817181944847,-0.010767327547073364,-0.0017342069745063782,-0.004138073325157166,-0.0021707723289728165,-0.009964232444763183,0.0005752173066139221,0.0002625717967748642,0.0004277342841738746,-9.711772203445435e-05,0.010277081057429313,0.0034222720563411714,-0.0007355041110638491,-0.005028877792687252,-0.005540888636342941,-0.0031082999762580836,-0.0007334705793632651,-0.00889534629740805,-0.0010318201633968524
PA0006,0.0057978487014770505,-0.005189974308013916,-0.0005063307285308838,-0.0027901691198348997,-0.0006314712762832642,0.007895060777664185,-0.004451239109039306,-0.01139207422733307,-0.001997828483581543,0.0012534070014953613,0.011697039604187012,-0.002910016075013176,0.007234731912612915,0.0029516902565956114,-0.004440147578716278,0.0013417325068994896,0.00497804016902529,0.010458215590446227,0.0012157158276369406,0.0020457978518504017,0.003588044418478912,-0.006994472350925207
PA0007,0.011499332189559936,-0.009637523889541626,-0.007081255912780761,0.001854187399148941,-0.007901628762483596,0.029982651472091674,-0.0003465306758880615,-0.006438153982162476,-0.0029261553287506102,-0.00046515077352523806,9.941115975379948e-05,0.005822473102145725,-0.0008307105302810669,0.0204620660841465,-0.002110003232955933,-0.008748735963683767,0.00688053821695262,0.003266496043051443,-0.004756765104397092,1.58469631986798e-05,0.0014634216731449342,-0.0018309200116034066
PA0008,0.004612684845924377,-0.006875293254852295,0.004713198840618133,0.0003709486126899719,0.008018110245466233,-0.0023885172605514525,0.004618149995803833,-0.006309929937124252,-0.0006696426868438721,-0.00420103132724762,0.0036400416493415832,-0.005470260741218688,-0.00277238130569458,0.002215067595243454,0.007184671461582184,0.0019725923685683417,-0.008636844569239122,0.003061719479099397,-0.00536518931648759,-0.0026198917964719375,-0.01052141526959977,-0.01117883316640343
PA0009,0.003731822967529297,-0.0009507596492767334,0.0015151438117027283,-0.0019498440623283387,0.001668209731578827,-0.0011209946870803832,-0.002144966125488281,-0.0013396142423152924,-0.004238502979278564,-0.013661845326423646,0.002913597822189331,-0.006694430396670387,-0.002639526128768921,0.00014781713485717774,0.004722718000411987,-0.001101123917963087,-0.00727929740116514,0.012589495028218916,0.003918799701644931,0.007225855341497457,-0.0078095388862321966,0.005337225373036095
PA0010,0.00024098515510559082,0.004764302968978882,0.001047152876853943,0.005440315455198288,-0.007929258048534393,-0.002722051739692688,-0.001649215817451477,-0.009432794153690338,0.003365762233734131,-0.010968230068683624,0.015228620171546936,-0.00510063057854062,-0.005519633293151856,0.0008056600391864777,-0.004296476244926453,-0.0023951180202444805,-0.0032324236014793658,0.0001368138097947644,0.009286780375987291,-0.0021068510019554283,-0.011662386498361264,-0.005148215352424553
PA0011,0.00834616184234619,-0.00443387508392334,-0.0022860133647918703,-0.0035995110869407655,-0.0034350478649139405,-0.00198703408241272,-0.003812288045883179,-0.002138685882091522,-0.006947872638702393,0.0055800932645797725,0.0008175790309906006,-0.0012059438796270462,0.003127790689468384,0.0043836718797683714,0.005513319075107575,-0.0012617209522994522,-0.000650114026562921,0.011835559721915953,-0.009973905417461728,-0.013787432661596334,0.0035368249101458854,0.0043757278472185135
PA0012,0.008054885864257812,-0.015536742210388184,3.8857460021972654e-05,-0.0026881802082061768,0.0013471484184265138,0.006733760833740234,-0.001420562267303467,0.009487059712409974,-0.0025036787986755372,-0.01029042899608612,-0.006596280932426452,-0.002182695600721571,0.0016209602355957032,0.006425037980079651,0.0023242276906967163,0.0015922244062128756,0.006073351564078495,0.0040011290580995625,-0.016003071525415708,0.001286853034541292,-0.008794453908812325,0.00480718697820391
PA0013,-0.003545878529548645,-0.0031220495700836183,-0.001476893424987793,-0.005873501896858215,0.0024810150265693665,-0.0011546528339385987,-0.004947208762168884,0.008992253243923188,-0.005247175693511963,-0.011991392970085144,-0.0025690196454524993,-0.006557250779772561,-0.006711698174476624,0.006764055341482163,0.004241498410701752,0.004737693009917269,0.0009331353779496817,0.003995562753369731,0.0016882679273569306,-0.0031387969008031882,-0.014775807565113283,-0.0016820881449218308
PA0014,0.008867733776569367,-0.024281978011131286,-0.003042062968015671,0.00919904500246048,0.0005344071984291077,-0.00018723994493484496,-0.0018170255422592164,0.013404460027813911,0.0022254204750061036,-0.000689176321029663,-0.004806448966264725,0.004592520850045341,0.015438766479492187,-0.007228544652462005,0.0005901246517896652,0.004494899326993018,0.030674350672754747,-0.0031585616450155933,0.0044324844859020655,-0.012556194696786269,-0.0013656607776317956,-0.0007346246524580888
PA0015,0.0076482494175434115,0.007980682253837586,-0.01713400475680828,0.0026958511397242547,-0.005356713011860847,-0.0006581339240074158,-0.003269636332988739,-0.009877449981868267,0.00967611998319626,-0.009873969405889511,-0.01220849260687828,-0.005620642313881526,-0.0008530984818935394,-0.0025356550142168997,0.003789961040019989,-0.003184039260923248,-0.005787884366923365,0.007753878351180784,-0.0002285909844389142,0.008390481460769221,-0.009169907221254313,-0.009382288528805864
PA0016,-0.0012236246466636657,-0.006317881345748902,-0.002705596387386322,0.0016348356753587722,-0.0007830424606800079,0.0048321220278739925,-0.00046798169612884523,-0.01494180828332901,-0.001112176775932312,0.0017952656745910645,-0.0013836558908224105,-0.005907351062411354,-0.005854911506175995,-0.006187040805816651,0.006838531866669655,0.0031745989912563993,-0.006300276723401299,0.006076170552161432,-0.012671446904193523,0.002046432135240087,-0.010748700713211636,-0.004579398465076727
PA0017,0.0009825354814529418,-0.009458838105201721,0.003802348077297211,0.002630365639925003,0.0004687820374965668,0.0017698237299919129,0.005339376330375671,-0.013411393910646439,0.005821627974510193,-0.0024971950054168703,-0.005484415143728256,-0.004668126030573769,0.00046481728553771974,-0.00493305578827858,-0.003026549816131592,-0.0026153439713507585,-0.0011061594404023268,-0.004403919942917362,5.153007805347443e-06,0.013850130562512379,-0.011852376584736805,-0.011127909745222755
PA0018,-0.00773190289735794,-0.006995946168899536,0.0013887809216976165,0.0027484174072742464,0.005025651454925537,0.007902025878429413,0.0055643200874328615,0.008209988176822662,0.007431373596191406,-0.0011790481209754944,0.007562828361988068,-0.0020007708716014076,-0.0038444069027900696,-0.0095960433781147,0.009812435507774353,-0.00566229132032886,-0.0029287769876677416,0.007813524815344041,-0.001537761407319543,0.008928406913325472,-0.017772246644182026,-0.006569646182470024
PA0019,-0.008335551619529724,-0.0061527895927429195,-0.013533120155334472,0.003663046211004257,0.006903047561645508,0.0013972127437591553,-0.0014132010936737062,0.006808341592550278,-0.006663140058517456,0.005526178479194641,0.0023987369239330293,-0.005638236091250465,0.0021055763959884643,0.00905761554837227,0.002333254814147949,0.001583098750753501,0.0034440324224274733,0.0031980583744664346,0.003210880620361761,0.0005490971061418641,-0.0015698210248407329,0.01464949398567634
