Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
PA0001,-0.006273343227803707,0.0022303086426109075,-0.00314878267154359,0.0022542476654052734,-0.0005822852253913879,-0.0018592926859855652,-0.0005901920795440674,0.002428901195526123,-0.005073154345154762,-0.0010719525814056397,0.0018878048658370972,-0.004886418469250202,-0.009560049354255973,-0.003195430040359497,0.006080986875476259,-0.002083027078770101,-0.006878391747743311,-0.0002974569797515869,0.003789743110537529,0.004512866422281427,-0.00806642472743988,0.0002555693450726961,-0.0016935461759567262,-0.008704532276500355,-0.005034813935729279,-0.008330139459348192
PA0002,-0.004812659346498549,0.003637981079518795,0.0002891165122651217,0.003981175969858639,-0.001513615846633911,-0.004372756183147431,0.00021807312965393066,0.0013785433769226074,-0.0020637288689613342,-0.0017947936058044433,0.0017684423923492432,0.000798148736357689,0.0009698573645059164,0.003265315592288971,-0.0009381834304693973,-0.0005385124683380127,-0.005991984840849756,0.0011356723308563231,-0.0002244751900434494,0.0032812897431648384,0.0031230336427688597,-0.0037895899069936654,-0.0035882675647735595,0.00012080452658913345,-0.0074086846976444635,-0.005849006129246132
PA0003,0.00417506555095315,0.0013560231029987335,-0.00371836779410379,-0.004517492700795658,0.0030856764316558837,0.0013405466079711914,-0.0013988327980041504,-0.0013702964782714843,-0.002854280173778534,-0.0035509872436523438,-0.0001697230339050293,-0.0012268197536468505,0.009668251136680702,-0.004147877693176269,0.0005355522488102769,0.0027919792849570514,-0.003917914880833155,0.0031483936309814452,0.0028771322965621946,0.0017742494405326196,-0.01557405710220337,-0.00520914730272795,-0.0027520132064819337,-0.002196017178622159,-0.004611190708204247,-0.004282521266563266
PA0004,-0.0038853317964822054,0.0045351654617115855,-0.001684092115937618,0.001965358609058818,-0.005510356724262238,-0.0023274560272693633,-0.00443172812461853,-1.4559626579284677e-05,-0.008566409349441528,-0.0023326700925827026,-0.0009341096878051758,-0.0008151002787053585,-0.0011222470890391958,0.001287451684474945,0.002979310398752039,0.0033673642016947268,-0.007223198951130182,0.005906146168708801,0.003981883972883225,0.005322518995252706,-0.0059186768531799315,-0.0025519982764595434,0.0033519375324249268,-0.0034639618613503194,-0.0020311536460087217,-0.0013057858336205576
PA0005,-0.0034156055189669132,-0.004691244075074792,0.00033244372982727856,-0.0018381486173535957,-0.003973924815654755,0.0006446895003318786,-0.0054970082640647885,-0.010487909317016602,0.005115346983075142,0.000661119818687439,-0.00238813579082489,-0.007182498406618834,-0.0009568333625793457,0.010144074857234954,-0.0009482202656341321,-0.00033117576967924835,0.004044931329471964,0.003739311695098877,-0.0021818618103861807,0.0015319808054778535,-0.00040508419275283816,-0.0031453060476403488,-0.009601046741008758,-0.006924030997536399,-0.00896329441289792,-0.02575059030570236
PA0006,0.007517513586208224,-0.004844630770385265,-0.00014031351658335903,-0.007018667752625512,-0.0034984588623046876,0.0021491801738739015,0.005259375572204589,-0.0012571382522583007,-0.002334505319595337,0.01181586742401123,0.007161039113998413,-0.005451215505599976,0.00048380393486518363,0.0023757171630859374,0.00732489065690474,0.006729805972427129,-0.010525500270682322,-0.004146738052368164,-0.010770095586776733,0.0029791270272206453,-4.100799560546962e-07,0.0007236066617463765,-0.0025824642181396483,0.01218476728959517,0.002900255137476428,0.0006545571719898897
PA0007,0.0071155455661937594,7.738079875707628e-05,0.0018003930648167927,-0.001020963074731045,0.0029598599672317504,9.201765060424804e-06,0.011701722145080567,-0.008719563484191895,-0.0033195987343788147,0.00042847156524658206,0.030272470712661745,-0.010024702101945877,-0.0075460749787169615,0.020691975355148315,-0.006550004536455328,-0.0008710489422082901,-0.007653671251216405,-0.0025667214393615724,-0.006490062028169632,-0.0013039076732376874,-0.007422939538955688,-0.006438380166103965,-0.002239769697189331,0.007054675709117542,2.0493036028982567e-05,0.0016542696485332415
PA0008,-0.009446457377634943,0.0035098117962479593,-0.0037721751029031318,-0.011989679492887904,-0.00034413635730743406,-0.0051797270774841305,0.0047044289112091065,0.00877723217010498,-0.00553545355796814,0.003731403350830078,-0.003329755067825317,-0.006181364953517914,6.359893006163758e-05,0.0028213798999786378,0.0063308256142067185,-0.00388196624815464,-0.007760813118706287,0.007887518405914307,-0.005726428106427193,0.0045509995040247,0.00484940767288208,-0.00396468953082436,-0.0004405289888381958,0.006939142400568182,-0.008130670964032754,0.012725231694240197
PA0009,-0.006815062719397247,-0.003009741622954607,-0.008449962787460862,0.004605230737905033,-0.0029073166847229004,-0.014873409867286682,0.003109956979751587,0.0020485687255859374,-0.0002469085156917572,0.0025888800621032713,-0.0017185992002487183,-0.0006332452595233918,-0.00305028704853801,-0.0005090314149856567,0.001304624207092054,-0.00417976294644177,-0.010975647560307677,0.0053514218330383305,-0.0009574936330318451,0.008244097232818604,0.0018597185611724854,0.005974620266964561,-0.004160619974136352,0.005420251326127486,-0.007892718260315642,0.0005965139351639093
PA0010,-0.004299557185731828,-0.0025527528673410416,7.35780126170108e-05,-0.004800507279693104,0.005745763778686523,-0.012002643942832947,0.0004620695114135742,-0.007159806489944458,-0.00338585302233696,0.014700714349746704,-0.002776254415512085,0.004265033341944217,-0.0044546344063498755,0.0005748552083969116,-0.004513567144220526,-0.007038663076236844,-0.0009416916840512987,-0.003845250606536865,-0.009318163245916366,0.002534745103221829,0.0005198943614959716,0.00976870059967041,0.0030563968420028688,0.004341697692871094,-0.009827559021697647,-0.005334985022451363
