	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX1517773	5354499	2131165	28019	1171544	0	0	0	0	982	0	0	0	0	1882474	117588	22727	39.80138945	5354499	4182955	78.12	1171544	21.88	ERX1517773_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5354499	0	20-75	54	40.71394898	73.95036137	pass	pass	pass	pass	fail	fail	fail	warn	fail	fail	pass	5358269	89830	5358269	401870175	823568	400904070	0.240402264	0.1328	0.3343	0.5329		
ERX1517774	4682908	1838787	14657	1025970	0	0	0	0	168	0	0	0	0	1675449	112010	15867	39.26592194	4682908	3656938	78.09	1025970	21.91	ERX1517774_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4682908	0	20-75	55	40.34731844	73.95433649	pass	pass	pass	pass	fail	fail	fail	warn	fail	fail	pass	4685736	65232	4685736	351430200	617780	350685616	0.211872514	0.1445	0.334	0.5215		
ERX2068556	7378583	3121617	10583	351379	0	0	0	0	6444	0	0	0	0	3516641	354090	17829	42.3064564	7378583	7027204	95.24	351379	4.76	ERX2068556_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7378583	0	20-76	58	20.0075909	75.14677032	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	7411903	944008	7411903	558658864	3446024	553924342	0.847479975	0.2033	0.2406	0.556		
ERX2068557	11863531	5447214	25131	544806	0	0	0	0	14566	0	0	0	0	5113741	690982	27091	45.91562158	11863531	11318725	95.41	544806	4.59	ERX2068557_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11863531	0	20-76	58	18.01355727	75.11830972	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11921761	1551602	11921761	898213641	5829631	890256401	0.885896143	0.1868	0.2432	0.57		
ERX2068558	21718678	7910385	66686	1366378	0	0	0	0	32483	0	0	0	0	11323244	984698	34804	36.42203729	21718678	20352300	93.71	1366378	6.29	ERX2068558_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21718678	0	20-76	57	16.37251094	75.12157536	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	21817611	1274386	21817611	1647172687	2630731	1642908376	0.258886699	0.2278	0.2149	0.5573		
ERX2068559	7405632	3027015	27769	346383	0	0	0	0	8187	0	0	0	0	3569550	413423	13305	40.8744993	7405632	7059249	95.32	346383	4.68	ERX2068559_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7405632	0	20-76	58	23.24869023	75.11243497	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	7447518	920087	7447518	561233704	4089564	555882038	0.953553923	0.2267	0.2236	0.5498		
ERX2068560	8159652	3822936	14118	405489	0	0	0	0	9926	0	0	0	0	3406959	477866	22358	46.85170397	8159652	7754163	95.03	405489	4.97	ERX2068560_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8159652	0	20-76	58	22.09442218	74.81349376	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	8194693	491244	8194693	618756407	945472	617169964	0.256392173	0.1846	0.2464	0.569		
ERX2068561	20487750	8093867	102939	1075074	0	0	0	0	33642	0	0	0	0	10229298	911447	41483	39.50588522	20487750	19412676	94.75	1075074	5.25	ERX2068561_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20487750	0	20-76	58	16.78587589	74.79842433	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	20573200	1241947	20573200	1553008752	2403026	1549001542	0.25802881	0.2188	0.2269	0.5543		
ERX2195929	36177338	10633520	836175	1053730	0	0	0	0	0	0	0	0	0	23166506	477206	10201	29.39276516	36177338	35123608	97.09	1053730	2.91	ERX2195929_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36177338	0	20-100	60	27.53708683	55.12171819	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	36181933	6530934	36181933	2023148365	816544	2011666444	0.567527384			0.544	0.067	0.389
ERX2195930	49733300	16330736	1312912	1436786	0	0	0	0	0	0	0	0	0	29889514	748418	14934	32.83662254	49733300	48296514	97.11	1436786	2.89	ERX2195930_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49733300	0	20-100	60	28.28094466	57.43150798	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	49740629	9428426	49740629	2897039524	1274986	2880205093	0.581090829			0.5469	0.0736	0.3795
ERX2195931	37700320	13514117	3470388	1180005	0	0	0	0	0	0	0	0	0	18990295	533829	11686	35.84615993	37700320	36520315	96.87	1180005	3.13	ERX2195931_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37700320	0	20-100	60	29.84872665	60.52744109	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	37705020	6878355	37705020	2311694083	969897	2299789816	0.514958579			0.5748	0.0776	0.3475
ERX2195932	34286220	12323227	730323	1129694	0	0	0	0	0	0	0	0	0	19568707	522445	11824	35.94221527	34286220	33156526	96.71	1129694	3.29	ERX2195932_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34286220	0	20-100	61	31.20910549	58.69137858	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	34290812	6102383	34290812	2039353188	906290	2028711291	0.521827071			0.5557	0.0841	0.3602
ERX2195933	51356360	18475085	1047629	1577045	0	0	0	0	0	0	0	0	0	29470624	764504	21473	35.97428829	51356360	49779315	96.93	1577045	3.07	ERX2195933_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	51356360	0	20-100	61	28.01230008	61.59589741	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	51359892	8644577	51359892	3201700189	1173378	3187133505	0.454967147			0.5364	0.0947	0.3689
ERX2195934	53003960	19892881	1642761	1665397	0	0	0	0	0	0	0	0	0	28967813	812743	22365	37.53093354	53003960	51338563	96.86	1665397	3.14	ERX2195934_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	53003960	0	20-100	61	28.00822139	61.73840102	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass	53007654	9420225	53007654	3313028129	1309028	3297076726	0.481475025			0.5425	0.0889	0.3686
ERX2259197	16940306	8357570	19456	610296	0	0	0	0	100220	0	0	0	0	7162861	654295	35608	49.33541342	16940306	16330010	96.4	610296	3.6	ERX2259197_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16940306	0	20-76	59	17.46939958	74.81194271	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	17054695	1892367	17054695	1280328625	9344212	1268156879	0.950673582	0.168	0.2871	0.5449		
ERX2259198	15442865	6974699	41628	581568	0	0	0	0	67804	0	0	0	0	7060057	685944	31165	45.16454039	15442865	14861297	96.23	581568	3.77	ERX2259198_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15442865	0	20-76	59	16.01380165	74.90355902	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	15542810	886882	15542810	1169570029	2431582	1165876377	0.315812812	0.1829	0.2598	0.5573		
ERX2259199	11360849	5031619	53429	459988	0	0	0	0	47829	0	0	0	0	5458391	287659	21934	44.28911079	11360849	10900861	95.95	459988	4.05	ERX2259199_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11360849	0	20-76	60	17.93857647	74.95450912	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	11467203	594117	11467203	863442396	1913869	860652687	0.323091501	0.192	0.2563	0.5518		
ERX2259200	14488454	6912853	15245	600286	0	0	0	0	49312	0	0	0	0	6379710	498151	32897	47.71284086	14488454	13888168	95.86	600286	4.14	ERX2259200_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14488454	0	20-76	60	20.36938808	74.76805186	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	14639890	1524911	14639890	1102419983	13010960	1087180662	1.382351666	0.1767	0.282	0.5413		
ERX2300159	1260970	993019	469	75422	0	0	0	0	4757	0	0	0	0	131885	52763	2655	78.75040643	1260970	1185548	94.02	75422	5.98	ERX2300159_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1260970	0	20-151	63	59.60314977	145.3072991	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass	1307820	524011	1307820	197480820	6156578	184755239	6.44395795	0.0432	0.3429	0.6139		
ERX2300160	1388991	1095137	198	86868	0	0	0	0	4836	0	0	0	0	145746	53345	2861	78.84406738	1388991	1302123	93.75	86868	6.25	ERX2300160_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1388991	0	20-151	63	59.96337862	145.0325754	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass	1445203	577370	1445203	218225653	7317929	203353523	6.815023713	0.043	0.3747	0.5823		
ERX2300161	1341557	1024927	1029	112148	0	0	0	0	5204	0	0	0	0	140552	54703	2994	76.39831927	1341557	1229409	91.64	112148	8.36	ERX2300161_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1341557	0	20-151	62	51.80133329	144.8750862	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass	1386292	558254	1386292	209330092	2223276	195985476	6.37491527	0.0441	0.3313	0.6246		
ERX2300162	1023960	770103	53087	76403	0	0	0	0	5199	0	0	0	0	77500	39189	2479	75.20830892	1023960	947557	92.54	76403	7.46	ERX2300162_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1023960	0	20-151	63	52.14688043	144.0357143	pass	pass		pass	fail	warn	pass	warn	warn	warn	pass	1035716	419638	1035716	156393116	841666	148157333	5.266077696	0.0315	0.3242	0.6443		
ERX2300163	1320813	964422	557	125874	0	0	0	0	4048	0	0	0	0	173682	50022	2208	73.01730071	1320813	1194939	90.47	125874	9.53	ERX2300163_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1320813	0	20-151	63	54.44962179	143.0234182	pass	pass		pass	warn	warn	pass	warn	warn	warn	pass	1405060	640705	1405060	212164060	3567136	191139149	9.909742018	0.0548	0.3577	0.5875		
ERX2300164	1392932	1032988	12101	130567	0	0	0	0	4819	0	0	0	0	160903	49196	2358	74.15925544	1392932	1262365	90.63	130567	9.37	ERX2300164_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1392932	0	20-151	63	54.94812361	143.2097059	pass	pass		pass	warn	warn	pass	warn	warn	warn	pass	1436887	597956	1436887	216969937	6362504	201465779	7.14576324	0.0467	0.3696	0.5837		
ERX2300165	1347714	1024308	523	129205	0	0	0	0	4292	0	0	0	0	135021	51826	2539	76.0033657	1347714	1218509	90.41	129205	9.59	ERX2300165_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1347714	0	20-151	63	56.89149036	144.3873797	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass	1396163	593383	1396163	210820613	6454713	196111066	6.977281202	0.0439	0.3357	0.6204		
ERX2300166	1410409	1087655	159	128884	0	0	0	0	6173	0	0	0	0	127906	56500	3132	77.11628329	1410409	1281525	90.86	128884	9.14	ERX2300166_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1410409	0	20-151	63	51.39341927	144.6352597	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass	1440770	578088	1440770	217556270	1692340	205206064	5.676786976	0.0385	0.3471	0.6144		
ERX2300167	1229665	916182	795	120615	0	0	0	0	4347	0	0	0	0	139831	45417	2478	74.50663392	1229665	1109050	90.19	120615	9.81	ERX2300167_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1229665	0	20-151	63	59.23634301	145.1082897	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass	1270217	517103	1270217	191802767	5438567	179704823	6.307491904	0.0498	0.3459	0.6044		
ERX2300168	1570068	968389	271175	144079	0	0	0	0	5304	0	0	0	0	129354	48931	2836	61.67815661	1570068	1425989	90.82	144079	9.18	ERX2300168_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1570068	0	20-151	61	45.53595585	144.4685281	pass	pass		pass	warn	warn	pass	warn	fail	warn	pass	1610514	666075	1610514	243187614	5636871	228749251	5.937129265	0.037	0.2915	0.6715		
ERX2300169	1601490	1197814	47230	140358	0	0	0	0	5664	0	0	0	0	145105	62130	3189	74.79372335	1601490	1461132	91.24	140358	8.76	ERX2300169_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1601490	0	20-151	62	54.08266643	145.0775909	pass	pass		pass	fail	pass	pass	warn	warn	warn	pass	1663004	695477	1663004	251113604	2918548	233439584	7.038256677	0.0355	0.3273	0.6371		
ERX2300170	1490094	1151726	12990	125449	0	0	0	0	6908	0	0	0	0	128626	60957	3438	77.29217083	1490094	1364645	91.58	125449	8.42	ERX2300170_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1490094	0	20-151	62	50.39195554	144.2246026	pass	pass		pass	warn	pass	pass	warn	warn	warn	pass	1512608	624696	1512608	228403808	3904838	215896541	5.475945042	0.0359	0.3373	0.6268		
ERX2456848	39520490	16104686	1746664	5417561	0	0	0	0	0	0	0	0	0	15216625	1026206	8748	40.75021843	39520490	34102929	86.29	5417561	13.71	ERX2456848_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	39520490	0	20-76	58	12.44887608	75.13601188	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	39533654	2426276	39533654	2984654616	3497667	2977884204	0.226840719			0.6491	0.086	0.2649
ERX2456849	37225260	15526155	1780118	5079228	0	0	0	0	0	0	0	0	0	13839087	992113	8559	41.70865428	37225260	32146032	86.36	5079228	13.64	ERX2456849_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37225260	0	20-76	58	13.41289461	75.15957331	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	37236463	2358461	37236463	2812085982	3345561	2805549405	0.232445844			0.6448	0.0828	0.2723
ERX2456850	33253498	17233372	597537	1311957	0	0	0	0	0	0	0	0	0	13130841	969106	10685	51.82423816	33253498	31941541	96.05	1311957	3.95	ERX2456850_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33253498	0	20-76	60	16.70789438	75.01731547	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	33321730	1792387	33321730	2512894005	7726194	2501813379	0.440950791			0.6342	0.0849	0.2809
ERX2456851	28803756	22279024	255067	496745	0	0	0	0	0	0	0	0	0	4333599	1429634	9687	77.3476348	28803756	28307011	98.28	496745	1.72	ERX2456851_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	28803756	0	20-76	61	15.37602238	75.22270248	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	28817395	1561803	28817395	2176861669	2521787	2172129547	0.217382761			0.6525	0.0584	0.2891
ERX2456852	34584977	24614038	839089	2120418	0	0	0	0	0	0	0	0	0	5433779	1566016	11637	71.16973939	34584977	32464559	93.87	2120418	6.13	ERX2456852_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34584977	0	20-76	61	16.32307949	75.20300644	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	34597922	2038481	34597922	2613585803	3269334	2607485536	0.233406035			0.636	0.0689	0.2951
ERX2456853	34063465	25984430	140947	451702	0	0	0	0	0	0	0	0	0	5750253	1723994	12139	76.28240404	34063465	33611763	98.67	451702	1.33	ERX2456853_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34063465	0	20-76	61	15.96536294	75.20826821	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	34081622	1889268	34081622	2574322841	3297641	2568278459	0.234795027			0.6165	0.0688	0.3148
ERX2456854	42557220	21697761	1305070	3821161	0	0	0	0	0	0	0	0	0	14515420	1206025	11783	50.98491161	42557220	38736059	91.02	3821161	8.98	ERX2456854_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	42557220	0	20-76	60	14.17672629	75.12227979	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	42577946	2438874	42577946	3214884132	5924086	3205640208	0.287535215			0.612	0.0883	0.2997
ERX2456855	38627236	19038539	1837975	4039090	0	0	0	0	0	0	0	0	0	12647376	1053531	10725	49.28786258	38627236	34588146	89.54	4039090	10.46	ERX2456855_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	38627236	0	18-76	60	14.84981934	74.34199335	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	38633684	15531516	38633684	2914880820	4615417	2887219502	0.94896909			0.6068	0.0846	0.3087
ERX2456856	36905384	19025041	951428	1891226	0	0	0	0	0	0	0	0	0	13944966	1081846	10877	51.55085502	36905384	35014158	94.88	1891226	5.12	ERX2456856_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36905384	0	20-76	60	15.38401547	74.87481886	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	36972616	2100745	36972616	2781906273	6867567	2770916509	0.395044366			0.5956	0.1092	0.2952
ERX2456857	35168265	21771838	2195866	5201211	0	0	0	0	0	0	0	0	0	4622179	1367384	9787	61.90762609	35168265	29967054	85.21	5201211	14.79	ERX2456857_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	35168265	0	20-76	59	14.46455374	75.18416402	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	35182107	2321189	35182107	2657432456	3263881	2650974035	0.243032367			0.669	0.0617	0.2693
ERX2456858	37223671	28301675	188153	615115	0	0	0	0	0	0	0	0	0	6289367	1815122	14239	76.03139142	37223671	36608556	98.35	615115	1.65	ERX2456858_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	37223671	0	20-76	61	15.70799609	75.25122608	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	37242417	2016345	37242417	2814425464	3151864	2808042072	0.226809773			0.6197	0.0719	0.3084
ERX2456859	36889350	28244521	206652	666546	0	0	0	0	0	0	0	0	0	5915512	1843166	12953	76.56551552	36889350	36222804	98.19	666546	1.81	ERX2456859_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36889350	0	20-76	61	15.24310019	75.159863	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	36925011	2071283	36925011	2787132817	4052679	2779622634	0.2694591			0.6365	0.066	0.2975
ERX2813653	34527410	19954534	112427	5819224	0	0	0	0	0	0	0	0	0	7794237	833170	13818	57.79331262	34527410	28708186	83.15	5819224	16.85	ERX2813653_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34527410	0	20-100	62	16.26980933	99.39050198	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	34710977	8134001	34710977	3471097700	4456711	3438248991	0.946349306			0.528	0.141	0.331
ERX2813654	31144716	18038622	98366	5247814	0	0	0	0	0	0	0	0	0	6991132	755725	13057	57.91872368	31144716	25896902	83.15	5247814	16.85	ERX2813654_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	31144716	0	20-100	62	16.4090403	99.4277986	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	31219255	7127963	31219255	3121925500	2561015	3102381567	0.626021761			0.5396	0.1366	0.3239
ERX2813655	1198419	7638	859	1186726	0	0	0	0	0	0	0	0	0	2962	234	0	0.637339695	1198419	11693	0.98	1186726	99.02	ERX2813655_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1198419	0	20-100	44	13.51827572	93.46325784	pass	pass		pass	fail	pass	pass	warn	fail	fail	pass	4463553	3854294	4463553	446355300	52350568	112938735	74.69757052			0.5129	0.1239	0.3632
ERX2813656	33675293	18936239	177548	5476580	0	0	0	0	0	0	0	0	0	8394393	669630	20903	56.2318463	33675293	28198713	83.74	5476580	16.26	ERX2813656_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	33675293	0	20-100	62	15.15902675	99.40091105	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	33871770	7825793	33871770	3387177000	4559781	3353602555	0.991222041			0.5358	0.1622	0.302
ERX2813657	34349507	19161067	129274	5536322	0	0	0	0	0	0	0	0	0	8801688	706642	14514	55.78265505	34349507	28813185	83.88	5536322	16.12	ERX2813657_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	34349507	0	20-100	62	15.47012083	99.38466156	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	34496756	8032893	34496756	3449675600	4272752	3420278024	0.852183782			0.5217	0.1577	0.3206
ERX2813658	32205297	17872846	115228	5464979	0	0	0	0	0	0	0	0	0	8062989	675120	14135	55.49660356	32205297	26740318	83.03	5464979	16.97	ERX2813658_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	32205297	0	20-100	62	15.87780609	99.39384717	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	32416661	7627374	32416661	3241666100	4642226	3207049118	1.067876238			0.5191	0.158	0.3229
ERX3284746	652554	69267	41418	165525	0	0	0	0	0	0	0	0	0	367224	9056	64	10.61475372	652554	487029	74.63	165525	25.37	ERX3284746_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	652554	0	20-143	60	46.60082407	82.67648041	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	709319	614745	709319	101432617	8614959	54576565	46.19426511			0.5666	0.0523	0.3811
ERX3284747	1734785	155814	99880	422868	0	0	0	0	0	0	0	0	0	1035154	20915	154	8.981747018	1734785	1311917	75.62	422868	24.38	ERX3284747_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1734785	0	20-143	60	38.97183153	79.21801549	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	1839799	1626064	1839799	263091257	21026410	138858720	47.22032135			0.5831	0.034	0.3829
ERX3284748	1929127	253012	116874	483418	0	0	0	0	0	0	0	0	0	1042844	32698	281	13.11536254	1929127	1445709	74.94	483418	25.06	ERX3284748_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1929127	0	20-143	60	42.01327894	84.01591964	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	2064181	1754582	2064181	295177883	23000531	163652872	44.55788139			0.5922	0.0418	0.3659
ERX3284749	781686	114526	32532	209864	0	0	0	0	0	0	0	0	0	409851	14786	127	14.65115149	781686	571822	73.15	209864	26.85	ERX3284749_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	781686	0	20-143	60	43.95559989	93.94342741	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	820175	664202	820175	117285025	6260230	73917954	36.9757955			0.5513	0.0603	0.3883
ERX3284750	853498	98431	27497	244034	0	0	0	0	0	0	0	0	0	470977	12451	108	11.53265737	853498	609464	71.41	244034	28.59	ERX3284750_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	853498	0	20-143	60	43.98122111	91.96175152	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	884830	719901	884830	126530690	6481264	79008855	37.55755619			0.5474	0.0624	0.3903
ERX3284751	1115875	142356	44737	306779	0	0	0	0	0	0	0	0	0	603454	18409	140	12.75734289	1115875	809096	72.51	306779	27.49	ERX3284751_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1115875	0	20-143	60	43.42135387	91.61234457	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	1158104	952483	1158104	165608872	8431281	102856801	37.89173264			0.5612	0.0548	0.3841
ERX3284752	1220781	661581	160860	35796	0	0	0	0	0	0	0	0	0	335232	26873	439	54.19325825	1220781	1184985	97.07	35796	2.93	ERX3284752_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1220781	0	20-150	61	61.24475177	83.39316307	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass	1468738	436543	1468738	138440733	11284374	101914048	26.38434817			0.5743	0.0579	0.3678
ERX3284753	1179775	589898	200538	30210	0	0	0	0	0	0	0	0	0	332376	26304	449	50.00089	1179775	1149565	97.44	30210	2.56	ERX3284753_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1179775	0	20-150	61	57.78284666	82.8435083	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	pass	1346230	351406	1346230	121773581	7439684	97840329	19.65389521			0.5728	0.0572	0.37
ERX3325033	715886	136188	52638	162978	0	0	0	0	0	0	0	0	0	345493	18460	129	19.0236993	715886	552908	77.23	162978	22.77	ERX3325033_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	715886	0	20-143	60	46.33585065	100.0859872	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	760501	566640	760501	108751643	6121587	72175076	33.6331167			0.5636	0.0807	0.3557
ERX3325034	1231818	268244	87319	257943	0	0	0	0	0	0	0	0	0	584164	33920	228	21.7762689	1231818	973875	79.06	257943	20.94	ERX3325034_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1231818	0	20-143	60	41.25962526	102.6280392	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	1276491	920366	1276491	182538213	8168431	127187542	30.32278562			0.5738	0.0719	0.3543
ERX3325035	1757647	285419	96743	475651	0	0	0	0	0	0	0	0	0	861391	38169	274	16.23869867	1757647	1281996	72.94	475651	27.06	ERX3325035_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1757647	0	20-143	60	40.28821876	95.65383664	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	1825453	1418977	1825453	261039779	13174249	169181960	35.18920348			0.6024	0.0557	0.3418
ERX3325036	712155	110857	83645	136041	0	0	0	0	0	0	0	0	0	365531	15995	86	15.56641461	712155	576114	80.9	136041	19.1	ERX3325036_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	712155	0	20-143	59	44.55903772	87.97289214	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	764579	623430	764579	109334797	8827325	63255030	42.14556414			0.5874	0.0652	0.3474
ERX3325037	897694	72043	59656	256163	0	0	0	0	0	0	0	0	0	500162	9629	41	8.025340484	897694	641531	71.46	256163	28.54	ERX3325037_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	897694	0	20-143	59	44.83620658	80.27746426	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	950070	825618	950070	135860010	11243925	72792232	46.42114924			0.5772	0.0527	0.3701
ERX3325038	1214952	100402	92988	311312	0	0	0	0	0	0	0	0	0	695820	14343	87	8.263865568	1214952	903640	74.38	311312	25.62	ERX3325038_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1214952	0	20-143	59	41.63389591	79.25171036	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	1291625	1139129	1291625	184702375	15486375	97213389	47.36754793			0.6008	0.0437	0.3555
ERX3558798	16539564	12012180	57693	249950	0	0	0	0	0	0	0	0	0	3849011	358160	12570	72.6269447	16539564	16289614	98.49	249950	1.51	ERX3558798_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16539564	0	20-51	61	20.78787388	50.51934362	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	16599960	3689489	16599960	846597960	1940620	835643818	1.293901299			0.6418	0.0599	0.2983
