	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
SRX3590830	7709500	3367019	54577	349208	0	0	0	0	0	0	0	0	0	3781412	154665	2619	43.67363642	7709500	7360292	95.47	349208	4.53	SRX3590830_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7709500	0	20-50	58	28.28088118	49.12309203	pass	pass	fail	pass	fail	warn	warn	warn	fail	warn	pass	7716352	1631671	7716352	385817600	4677263	378774815	1.825418281			0.499	0.2425	0.2586
SRX3590831	6815081	2452316	18225	98450	0	0	0	0	0	0	0	0	0	4116856	127238	1996	35.98366622	6815081	6716631	98.56	98450	1.44	SRX3590831_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6815081	0	20-50	58	23.18445381	49.22721403	pass	pass	fail	pass	fail	warn	warn	warn	fail	fail	pass	6819233	1393986	6819233	340961650	3513803	335531510	1.592595531			0.5142	0.2775	0.2084
SRX3590832	7964026	1752043	3674659	308982	0	0	0	0	0	0	0	0	0	2140142	86771	1429	21.99946359	7964026	7655044	96.12	308982	3.88	SRX3590832_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7964026	0	20-50	55	20.65012674	49.25264646	pass	pass	fail	pass	fail	warn	warn	warn	fail	warn	pass	7968849	1867630	7968849	398442450	3600659	392307208	1.539806313			0.6505	0.1335	0.216
SRX3590833	18012650	4105737	655428	1399976	0	0	0	0	0	0	0	0	0	11616182	231515	3812	22.79363114	18012650	16612674	92.23	1399976	7.77	SRX3590833_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18012650	0	20-76	59	19.42513391	75.06667303	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	18021011	927255	18021011	1358700027	1863545	1355418524	0.241517843			0.416	0.3521	0.2319
SRX3590834	17249266	2553075	4240199	1170388	0	0	0	0	0	0	0	0	0	9134918	148253	2433	14.80106458	17249266	16078878	93.21	1170388	6.79	SRX3590834_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17249266	0	20-76	57	18.12064856	75.00795303	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	17256958	1008080	17256958	1300593886	1989752	1297078903	0.270259843			0.4753	0.3013	0.2235
SRX3590836	17418251	5445876	1308721	2949443	0	0	0	0	0	0	0	0	0	7363392	347237	3582	31.26534346	17418251	14468808	83.07	2949443	16.93	SRX3590836_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17418251	0	20-76	58	23.39127823	75.00717563	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	17423917	961637	17423917	1313303854	2057529	1309821594	0.265152652			0.5085	0.2378	0.2537
SRX3590837	14774902	2221553	486059	3170628	0	0	0	0	0	0	0	0	0	8767054	127503	2105	15.03599144	14774902	11604274	78.54	3170628	21.46	SRX3590837_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14774902	0	20-76	59	18.36422036	75.09927998	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	14781444	730139	14781444	1114909573	1608039	1112161320	0.246500081			0.3656	0.4191	0.2153
SRX3590838	14609382	3785864	918935	3489554	0	0	0	0	0	0	0	0	0	6221079	190447	3503	25.91392298	14609382	11119828	76.11	3489554	23.89	SRX3590838_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14609382	0	20-76	60	23.83613176	74.87587866	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	14619643	767905	14619643	1099728520	1636009	1096605063	0.284020733			0.4509	0.3012	0.2479
SRX3590839	22526647	255224	20580847	1338327	0	0	0	0	0	0	0	0	0	338863	13216	170	1.13298708	22526647	21188320	94.06	1338327	5.94	SRX3590839_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	22526647	0	20-76	52	11.36458872	75.08078908	pass	pass		pass	fail	pass	pass	warn	fail	warn	pass	22528706	1945684	22528706	1701309133	2416621	1696361505	0.290812992			0.7346	0.0082	0.2572
SRX3590840	21708632	144447	18867017	2549905	0	0	0	0	0	0	0	0	0	138920	8280	63	0.665389694	21708632	19158727	88.25	2549905	11.75	SRX3590840_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21708632	0	20-76	53	12.90134445	75.09260326	pass	pass		pass	fail	warn	pass	warn	fail	warn	pass	21710119	1903637	21710119	1640307905	2815139	1635070593	0.319288347			0.7352	0.0042	0.2605
SRX3590841	7805257	3045335	562180	818679	0	0	0	0	0	0	0	0	0	3242867	133546	2650	39.01646032	7805257	6986578	89.51	818679	10.49	SRX3590841_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7805257	0	20-50	58	29.26559566	49.11106681	pass	pass	fail	pass	fail	fail	warn	warn	fail	warn	pass	7812276	1570857	7812276	390613800	4905062	383387415	1.850007603			0.4952	0.2407	0.264
SRX3590842	12787487	1684868	70483	4378810	0	0	0	0	0	0	0	0	0	6553757	97991	1578	13.17591173	12787487	8408677	65.76	4378810	34.24	SRX3590842_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12787487	0	20-76	47	44.69521595	75.10640613	pass	pass		pass	fail	fail	pass	warn	fail	fail	pass	12791129	1152161	12791129	967303573	3254715	962637351	0.482394786			0.4005	0.3595	0.2399
SRX3590843	17970651	8219490	1415339	1319886	0	0	0	0	0	0	0	0	0	6558427	451744	5765	45.73840981	17970651	16650765	92.66	1319886	7.34	SRX3590843_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17970651	0	20-76	59	26.78121504	75.02109356	pass	pass		pass	fail	warn	pass	warn	fail	fail	pass	17979209	1014935	17979209	1355159548	1988765	1351569206	0.264938693			0.5221	0.2013	0.2767
SRX3590844	8996028	2757536	1307941	1484884	0	0	0	0	0	0	0	0	0	3314705	128658	2304	30.652817	8996028	7511144	83.49	1484884	16.51	SRX3590844_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8996028	0	20-50	57	26.79421303	49.15759878	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass	9008289	1832970	9008289	450414450	4946998	442282711	1.805390347			0.5357	0.2047	0.2596
SRX3590845	11707664	2931228	405529	3417871	0	0	0	0	0	0	0	0	0	4760268	190785	1983	25.03683058	11707664	8289793	70.81	3417871	29.19	SRX3590845_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11707664	0	20-76	48	43.97257909	75.08824015	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	11711545	875915	11711545	884886025	2519105	881226256	0.413586484			0.5008	0.2535	0.2457
SRX3590846	7798017	753250	4748220	1739251	0	0	0	0	0	0	0	0	0	527302	29394	600	9.659507026	7798017	6058766	77.7	1739251	22.3	SRX3590846_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7798017	0	20-50	56	16.88647912	49.25346431	pass	pass	fail	pass	fail	warn	warn	warn	fail	warn	pass	7802739	1871342	7802739	390136950	3413308	384117454	1.542918711			0.7753	0.0395	0.1851
SRX3590847	16251977	4589553	58693	9079569	0	0	0	0	0	0	0	0	0	2304238	216505	3419	28.23996736	16251977	7172408	44.13	9079569	55.87	SRX3590847_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16251977	0	20-76	60	28.26798022	75.20536154	pass	pass		pass	fail	fail	pass	warn	fail	warn	pass	16257382	858014	16257382	1228737895	2141075	1225275566	0.281779297			0.5415	0.1824	0.2761
