Geneid,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
PA0001,0.003914783000946045,0.00373162437619558,-0.008705112163896685,-0.001463201002810489,0.0003460419550538063,0.0018120837211608887,-0.0012963002920150758,0.002186630964279175,0.00045141504262574016,-0.003259563446044922,-0.0005987745523452759,-0.0021018266677856447,-0.0048698922991752625,-0.004261841849675254,-0.0008964872360229492,-0.001343611478805542,-0.0020492831865946454,-0.008187556862831116,-0.0012277894549899632,0.0019754784554243086,-0.00462369407926287,-0.005364125967025757,-0.0011341571807861328,0.01741596504493996
PA0002,0.003777039051055908,0.003473585026700105,0.004255968835446742,-0.005797554082660513,-0.005019504874944687,0.0019124114513397216,-0.0013512998819351196,0.0014140141010284425,-8.178541203960776e-05,0.0033944106101989747,-0.00014057397842407227,-0.0047246706485748295,0.0007692842930555343,-0.003976615648421031,0.0007136651873588562,0.0012590478360652924,0.0018597722053527832,0.0022150495648384093,-0.00976435453803451,-5.077615380287171e-05,-0.0014574591602597917,0.004186685880025228,0.007620061145109289,0.0037271501841368497
PA0003,0.0019912052154541014,-0.0026727606778714193,0.009138322495794916,-0.005045965313911438,0.0015884621441364288,-0.0017067956924438476,-0.004060382843017578,-0.00017827033996582032,0.0038603113312274217,-0.003914190530776978,0.002110090255737305,-0.00199415922164917,-0.0014871695637702941,-0.0014249994641258603,-0.0013106489181518555,0.002578546404838562,-0.0027309099833170572,-0.01622928500175476,0.0006135238541497125,0.0020370301604270935,-0.0001030904906136649,-0.003983147939046224,-0.011367171418433096,0.0034472589139585143
PA0004,0.005162791013717651,0.002365261052193037,-0.0002052827508418591,-0.004676565136337144,-0.0005095353350043297,0.00010663509368896484,-0.002362881600856781,-0.0005134296417236328,0.004648988264380023,0.0010593974590301515,-0.004891625046730042,0.002979315519332886,-0.0012912658229470254,0.004915915311328949,-0.0052561241388320926,0.0048568442463874815,-0.002616232633590698,-0.006033979505300522,0.007836907412166949,0.0029692327231168746,0.0006626237715993609,-0.0010464171568552653,-0.0016858384889714857,0.01338293817308214
PA0005,-0.004477472305297852,-0.00037393326968399444,-0.0005207794246735511,-0.0030149350747127423,0.0003678862191736698,-0.010826807022094726,0.0005522257089614869,-0.002002592086791992,-0.0004385958192870021,0.009940115660429,-0.003801780939102173,-0.010319425463676453,-0.00706379197537899,-0.004379950345508636,-0.0049251668155193325,0.0034397133439779282,0.0038546284039815268,-0.0004451838135719299,-0.005899951137878277,-0.0018494108319282532,-0.000239862927368709,-0.0027823189894358316,-0.00048827891256295,-0.0001273811967284591
PA0006,-0.004353513717651367,-0.006709178103439843,0.0018037904005546075,0.000949005511674014,0.0015319278836250306,-0.0010737180709838867,0.01137894630432129,0.006893777847290039,0.007115361797623336,0.0026928091049194334,-0.0031706690788269043,-0.0018293452262878418,-0.005568545162677765,0.003610735847836449,0.006045594811439514,-0.004875049591064453,0.002427037556966146,-0.0004521608352661133,0.002907889860647696,-0.010670931041240693,-0.0031122182096753803,-0.0020638684431711833,-0.0012633753757850797,-0.0008469996628937897
PA0007,-0.0009316086769104003,-0.003134818163825505,-0.01163909671368537,-0.004217355977743864,0.00028716735541820524,-0.007446775436401367,6.731152534484863e-05,0.030629367828369142,-0.0017536257999017835,0.020901028215885162,0.0011942732334136964,-0.0012052953243255615,-0.009792092144489289,-0.005150900000617618,0.011779078990221023,-0.0014597612619400024,-0.005535729726155599,-0.007380254864692688,0.0007551610469818115,-0.005790056437253952,0.005878991314343044,0.00267468790213267,-0.006048922445259842,0.0047255003893816915
PA0008,0.005135245323181152,-0.01027642740909733,0.003122680663288414,-0.006351955319670114,-0.0036977828294038773,0.007676544189453125,0.0036652588844299314,-0.0023128533363342284,-0.0020761074661277234,0.001759665310382843,0.0015868568420410157,-0.0008461558818817138,-0.0073489460349082944,0.0075308264247954835,0.0042559802532196045,0.0062536635994911195,0.0026848236719767254,0.005168744325637817,-0.0038455923398335776,-0.006811957061290741,-0.005520854677472796,0.004861353834470113,0.001781482322543275,-0.008860537299403438
PA0009,-0.0017131400108337403,0.003892159228449437,0.0016940964700339677,0.0017528283748437059,-0.01347783848643303,0.0017666745185852051,0.0035364365577697753,-0.0017342185974121094,-0.002488812094088644,-0.0020756304264068605,0.00020003437995910642,-0.0057928037643432614,-0.0013779650628566742,0.007437433515276227,0.0036105193197727204,0.004261631369590759,0.0014810005823771158,0.0009347701072692871,0.007387063017597905,-0.0016990527510643005,-0.006178210888590131,-0.01665548880894979,0.009535043847327139,-0.011416795077147308
PA0010,-0.0018570804595947265,-0.0019105856320751247,0.0005011741410602223,0.009680732068690386,-0.010609936565160752,-0.008400652408599853,0.014908120036125183,-0.002341114282608032,-0.006573655772954225,0.0007287442684173584,0.006058316230773925,0.0035271406173706054,0.005395676344633103,0.004591785253040374,0.0004217398166656494,-0.004719881117343902,-0.006888989607493083,0.0013174423575401306,-0.007441992009127581,-0.009448720961809159,-0.004876849906785148,-0.006992986798286438,0.0033891551634844612,-0.00019662910037570528
